,event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,manager_id
12188,29,73.0,1718.0,432654.0,434228.0,3515860.0,5.0,9.0,1034.0,0.0,0.0,8.0,392689
12189,30,48.0,1762.0,4726068.0,4727073.0,3585755.0,45.0,28.0,1034.0,3.0,4.0,16.0,392689
12190,31,24.0,1786.0,9275463.0,9279318.0,3772640.0,85.0,28.0,1033.0,0.0,0.0,3.0,392689
12191,32,50.0,1832.0,6888584.0,6888764.0,4020743.0,65.0,29.0,1020.0,3.0,4.0,28.0,392689
12192,33,71.0,1903.0,2045919.0,2049430.0,3824767.0,20.0,29.0,1022.0,0.0,0.0,30.0,392689
12193,34,52.0,1955.0,4027421.0,4030169.0,3806690.0,40.0,29.0,1026.0,0.0,0.0,0.0,392689
12194,35,48.0,2003.0,3063923.0,3070587.0,3726907.0,30.0,29.0,1028.0,0.0,0.0,4.0,392689
12195,36,43.0,2046.0,5661545.0,5663453.0,3746246.0,50.0,16.0,1031.0,2.0,0.0,0.0,392689
12196,37,42.0,2088.0,4504962.0,4511155.0,3748768.0,40.0,16.0,1028.0,0.0,0.0,5.0,392689
12197,38,60.0,2148.0,1948909.0,1949826.0,3611068.0,20.0,16.0,1029.0,3.0,0.0,7.0,392689
12198,1,73.0,73.0,941733.0,941787.0,941734.0,15.0,0.0,1000.0,0.0,0.0,5.0,2304
12199,2,80.0,153.0,2449203.0,2449237.0,792875.0,30.0,0.0,1001.0,1.0,0.0,5.0,2304
12200,3,82.0,235.0,1175961.0,1176008.0,492850.0,15.0,8.0,1003.0,1.0,0.0,7.0,2304
12201,4,50.0,285.0,5443328.0,5443382.0,721825.0,55.0,8.0,1004.0,0.0,0.0,4.0,2304
12202,5,63.0,348.0,3513725.0,3513772.0,829552.0,35.0,8.0,1006.0,0.0,0.0,3.0,2304
12203,6,38.0,386.0,7774756.0,7774927.0,1708442.0,75.0,0.0,1010.0,0.0,0.0,9.0,2304
12204,7,58.0,444.0,1651777.0,1651826.0,1101665.0,20.0,0.0,1016.0,0.0,0.0,1.0,2304
12205,8,33.0,477.0,6500791.0,6500819.0,1427341.0,65.0,15.0,1018.0,1.0,0.0,7.0,2304
12206,9,64.0,541.0,2497781.0,2497792.0,1266378.0,25.0,42.0,1021.0,3.0,0.0,13.0,2304
12207,10,49.0,590.0,1894405.0,1894437.0,1061854.0,20.0,42.0,1024.0,0.0,0.0,13.0,2304
12208,11,42.0,632.0,7149642.0,7149661.0,1605450.0,70.0,42.0,1029.0,0.0,0.0,9.0,2304
12209,12,33.0,665.0,9357571.0,9357575.0,2545694.0,90.0,15.0,1025.0,2.0,0.0,21.0,2304
12210,13,60.0,725.0,5438853.0,5438855.0,2802561.0,55.0,26.0,1026.0,3.0,0.0,1.0,2304
12211,14,44.0,769.0,9028593.0,9028594.0,3522920.0,85.0,26.0,1027.0,0.0,0.0,19.0,2304
12212,15,62.0,831.0,2301931.0,2301969.0,3114609.0,25.0,26.0,1027.0,0.0,0.0,1.0,2304
12213,16,51.0,882.0,3959333.0,3959368.0,3055711.0,40.0,26.0,1026.0,0.0,0.0,10.0,2304
12214,17,40.0,922.0,8865721.0,8865722.0,4019794.0,85.0,25.0,1023.0,1.0,0.0,6.0,2304
12215,18,47.0,969.0,7009917.0,7009918.0,4274848.0,65.0,5.0,1022.0,2.0,0.0,2.0,2304
12216,19,83.0,1052.0,1616597.0,1616630.0,3901259.0,15.0,5.0,1023.0,0.0,0.0,11.0,2304
12217,20,78.0,1130.0,1207813.0,1207825.0,3505403.0,15.0,5.0,1027.0,0.0,0.0,2.0,2304
12218,21,34.0,1164.0,9865448.0,9865448.0,4200412.0,90.0,5.0,1029.0,2.0,0.0,18.0,2304
12219,22,46.0,1210.0,5101490.0,5101552.0,4155724.0,50.0,5.0,1031.0,0.0,0.0,10.0,2304
12220,23,60.0,1270.0,5609472.0,5609487.0,4179844.0,55.0,39.0,1030.0,2.0,0.0,10.0,2304
12221,24,135.0,1405.0,846705.0,846724.0,3446849.0,10.0,27.0,1030.0,1.0,0.0,8.0,2304
12222,25,121.0,1526.0,46931.0,46933.0,2662654.0,1.0,14.0,1025.0,3.0,0.0,11.0,2304
12223,26,73.0,1599.0,3986753.0,3986763.0,2686671.0,40.0,29.0,1021.0,2.0,0.0,13.0,2304
12224,27,51.0,1646.0,7019136.0,7019149.0,2857213.0,65.0,12.0,1021.0,2.0,4.0,7.0,2304
12225,28,40.0,1686.0,8665698.0,8665707.0,3292643.0,80.0,12.0,1020.0,0.0,0.0,2.0,2304
12226,29,40.0,1722.0,5260134.0,5260154.0,3434687.0,50.0,13.0,1015.0,3.0,4.0,0.0,2304
12227,30,50.0,1772.0,3622892.0,3623088.0,3390631.0,35.0,1.0,1002.0,0.0,0.0,9.0,2304
12228,31,60.0,1832.0,312948.0,313069.0,2912350.0,5.0,1.0,1009.0,0.0,0.0,9.0,2304
12229,32,80.0,1912.0,1422826.0,1422862.0,2634667.0,15.0,1.0,1014.0,0.0,0.0,9.0,2304
12230,33,97.0,2009.0,119437.0,119438.0,2059574.0,5.0,8.0,1016.0,2.0,0.0,0.0,2304
12231,34,96.0,2105.0,63704.0,63730.0,1514604.0,1.0,8.0,1018.0,0.0,0.0,7.0,2304
12232,35,44.0,2149.0,4604725.0,4604747.0,1520978.0,45.0,8.0,1016.0,0.0,0.0,6.0,2304
12233,36,55.0,2204.0,1988028.0,1988047.0,1438499.0,20.0,2.0,1013.0,2.0,0.0,10.0,2304
12234,37,53.0,2257.0,1699745.0,1699761.0,1370129.0,15.0,2.0,1010.0,0.0,0.0,9.0,2304
12235,38,59.0,2316.0,2143952.0,2143962.0,1322478.0,20.0,10.0,1008.0,3.0,0.0,5.0,2304
12236,1,47.0,47.0,6723188.0,6725782.0,6723188.0,80.0,0.0,1000.0,0.0,0.0,6.0,229264
12237,2,76.0,123.0,3339426.0,3343191.0,5000672.0,35.0,0.0,1000.0,1.0,0.0,18.0,229264
12238,3,60.0,183.0,6379941.0,6381172.0,5201585.0,65.0,0.0,1000.0,0.0,0.0,0.0,229264
12239,4,50.0,233.0,5609999.0,5612172.0,5168670.0,60.0,1.0,999.0,1.0,0.0,3.0,229264
12240,5,58.0,291.0,5044419.0,5047313.0,5126716.0,50.0,1.0,1001.0,0.0,0.0,4.0,229264
12241,6,80.0,371.0,576298.0,576442.0,2874230.0,10.0,17.0,1003.0,3.0,0.0,21.0,229264
12242,7,40.0,411.0,7223825.0,7225748.0,3403102.0,70.0,0.0,1006.0,1.0,0.0,8.0,229264
12243,8,36.0,447.0,5338554.0,5341184.0,3503455.0,55.0,12.0,1007.0,1.0,0.0,7.0,229264
12244,9,63.0,510.0,2528481.0,2530719.0,3089846.0,25.0,12.0,1011.0,0.0,0.0,11.0,229264
12245,10,38.0,548.0,5612413.0,5614701.0,3261557.0,55.0,0.0,1014.0,1.0,0.0,13.0,229264
12246,11,38.0,586.0,8257841.0,8259641.0,3970504.0,80.0,0.0,1015.0,0.0,0.0,6.0,229264
12247,12,31.0,617.0,9689607.0,9689959.0,4929704.0,95.0,1.0,1013.0,2.0,0.0,5.0,229264
12248,13,63.0,680.0,4543842.0,4545560.0,4792055.0,45.0,1.0,1012.0,0.0,0.0,10.0,229264
